gender,race,parental level of education,lunch,test preparation course,math score,english score,math pass mark,english pass mark
female,group B,bachelor's degree,standard,none,72,72,65,68
female,group C,some college,standard,completed,69,90,65,68
female,group B,master's degree,standard,none,90,95,65,68
male,group A,associate's degree,free/reduced,none,47,57,65,68
male,group C,some college,standard,none,76,78,65,68
female,group B,associate's degree,standard,none,71,83,65,68
female,group B,some college,standard,completed,88,95,65,68
male,group B,some college,free/reduced,none,40,43,65,68
male,group D,high school,free/reduced,completed,64,64,65,68
female,group B,high school,free/reduced,none,38,60,65,68
male,group C,associate's degree,standard,none,58,54,65,68
male,group D,associate's degree,standard,none,40,52,65,68
female,group B,high school,standard,none,65,81,65,68
male,group A,some college,standard,completed,78,72,65,68
female,group A,master's degree,standard,none,50,53,65,68
female,group C,some high school,standard,none,69,75,65,68
male,group C,high school,standard,none,88,89,65,68
female,group B,some high school,free/reduced,none,18,32,65,68
male,group C,master's degree,free/reduced,completed,46,42,65,68
female,group C,associate's degree,free/reduced,none,54,58,65,68
male,group D,high school,standard,none,66,69,65,68
female,group B,some college,free/reduced,completed,65,75,65,68
male,group D,some college,standard,none,44,54,65,68
female,group C,some high school,standard,none,69,73,65,68
male,group D,bachelor's degree,free/reduced,completed,74,71,65,68
male,group A,master's degree,free/reduced,none,73,74,65,68
male,group B,some college,standard,none,69,54,65,68
female,group C,bachelor's degree,standard,none,67,69,65,68
male,group C,high school,standard,none,70,70,65,68
female,group D,master's degree,standard,none,62,70,65,68
female,group D,some college,standard,none,69,74,65,68
female,group B,some college,standard,none,63,65,65,68
female,group E,master's degree,free/reduced,none,56,72,65,68
male,group D,some college,standard,none,40,42,65,68
male,group E,some college,standard,none,97,87,65,68
male,group E,associate's degree,standard,completed,81,81,65,68
female,group D,associate's degree,standard,none,74,81,65,68
female,group D,some high school,free/reduced,none,50,64,65,68
female,group D,associate's degree,free/reduced,completed,75,90,65,68
male,group B,associate's degree,free/reduced,none,57,56,65,68
male,group C,associate's degree,free/reduced,none,55,61,65,68
female,group C,associate's degree,standard,none,58,73,65,68
female,group B,associate's degree,standard,none,53,58,65,68
male,group B,some college,free/reduced,completed,59,65,65,68
female,group E,associate's degree,free/reduced,none,50,56,65,68
male,group B,associate's degree,standard,none,65,54,65,68
female,group A,associate's degree,standard,completed,55,65,65,68
female,group C,high school,standard,none,66,71,65,68
female,group D,associate's degree,free/reduced,completed,57,74,65,68
male,group C,high school,standard,completed,82,84,65,68
male,group E,some college,standard,none,53,55,65,68
male,group E,associate's degree,free/reduced,completed,77,69,65,68
male,group C,some college,standard,none,53,44,65,68
male,group D,high school,standard,none,88,78,65,68
female,group C,some high school,free/reduced,completed,71,84,65,68
female,group C,high school,free/reduced,none,33,41,65,68
female,group E,associate's degree,standard,completed,82,85,65,68
male,group D,associate's degree,standard,none,52,55,65,68
male,group D,some college,standard,completed,58,59,65,68
female,group C,some high school,free/reduced,none,0,17,65,68
male,group E,bachelor's degree,free/reduced,completed,79,74,65,68
male,group A,some high school,free/reduced,none,39,39,65,68
male,group A,associate's degree,free/reduced,none,62,61,65,68
female,group C,associate's degree,standard,none,69,80,65,68
female,group D,some high school,standard,none,59,58,65,68
male,group B,some high school,standard,none,67,64,65,68
male,group D,some high school,free/reduced,none,45,37,65,68
female,group C,some college,standard,none,60,72,65,68
male,group B,associate's degree,free/reduced,none,61,58,65,68
female,group C,associate's degree,standard,none,39,64,65,68
female,group D,some college,free/reduced,completed,58,63,65,68
male,group D,some college,standard,completed,63,55,65,68
female,group A,associate's degree,free/reduced,none,41,51,65,68
male,group C,some high school,free/reduced,none,61,57,65,68
male,group C,some high school,standard,none,49,49,65,68
male,group B,associate's degree,free/reduced,none,44,41,65,68
male,group E,some high school,standard,none,30,26,65,68
male,group A,bachelor's degree,standard,completed,80,78,65,68
female,group D,some high school,standard,completed,61,74,65,68
female,group E,master's degree,standard,none,62,68,65,68
female,group B,associate's degree,standard,none,47,49,65,68
male,group B,high school,free/reduced,none,49,45,65,68
male,group A,some college,free/reduced,completed,50,47,65,68
male,group E,associate's degree,standard,none,72,64,65,68
male,group D,high school,free/reduced,none,42,39,65,68
female,group C,some college,standard,none,73,80,65,68
female,group C,some college,free/reduced,none,76,83,65,68
female,group D,associate's degree,standard,none,71,71,65,68
female,group A,some college,standard,none,58,70,65,68
female,group D,some high school,standard,none,73,86,65,68
female,group C,bachelor's degree,standard,none,65,72,65,68
male,group C,high school,free/reduced,none,27,34,65,68
male,group C,high school,standard,none,71,79,65,68
male,group C,associate's degree,free/reduced,completed,43,45,65,68
female,group B,some college,standard,none,79,86,65,68
male,group C,associate's degree,free/reduced,completed,78,81,65,68
male,group B,some high school,standard,completed,65,66,65,68
female,group E,some college,standard,completed,63,72,65,68
female,group D,some college,free/reduced,none,58,67,65,68
female,group D,bachelor's degree,standard,none,65,67,65,68
male,group B,some college,standard,none,79,67,65,68
male,group D,bachelor's degree,standard,completed,68,74,65,68
female,group D,associate's degree,standard,none,85,91,65,68
male,group B,high school,standard,completed,60,44,65,68
male,group C,some college,standard,completed,98,86,65,68
female,group C,some college,standard,none,58,67,65,68
female,group D,master's degree,standard,none,87,100,65,68
male,group E,associate's degree,standard,completed,66,63,65,68
female,group B,associate's degree,free/reduced,none,52,76,65,68
female,group B,some high school,standard,none,70,64,65,68
female,group D,associate's degree,free/reduced,completed,77,89,65,68
male,group C,high school,standard,none,62,55,65,68
male,group A,associate's degree,standard,none,54,53,65,68
female,group D,some college,standard,none,51,58,65,68
female,group E,bachelor's degree,standard,completed,99,100,65,68
male,group C,high school,standard,none,84,77,65,68
female,group B,bachelor's degree,free/reduced,none,75,85,65,68
female,group D,bachelor's degree,standard,none,78,82,65,68
female,group D,some high school,standard,none,51,63,65,68
female,group C,some college,standard,none,55,69,65,68
